,50_10,50_15,50_5,60_10,60_15,60_5,70_10,70_15,70_5
50_10,5,4.75,3.75,4.75,4.75,4.75,4.75,4.75,4.25
50_15,4.75,6,3.75,6,6,6,6,6,4.875
50_5,3.75,3.75,4,3.75,3.75,3.75,3.75,3.75,3.375
60_10,4.75,6,3.75,6,6,6,6,6,4.875
60_15,4.75,6,3.75,6,6,6,6,6,5
60_5,4.75,6,3.75,6,6,6,6,6,5
70_10,4.75,6,3.75,6,6,6,6,6,5
70_15,4.75,6,3.75,6,6,6,6,6,5
70_5,4.25,4.875,3.375,4.875,4.75,4.75,4.75,4.75,5
